YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2011,1,31,9,197.27
2011,1,31,10,297.29
2011,1,31,11,344.66
2011,1,31,12,275.34
2011,1,31,13,348.7
2011,1,31,14,396.45
2011,1,31,15,277.49
2011,1,31,16,181.12
2011,1,31,17,54.98
2011,1,31,18,5.48
2011,1,31,19,0.0
2011,1,31,20,0.0
2011,1,31,21,0.0
2011,1,31,22,0.0
2011,1,31,23,0.0
2011,2,1,0,0.0
2011,2,1,1,0.0
2011,2,1,2,0.0
2011,2,1,3,0.0
2011,2,1,4,0.0
2011,2,1,5,0.0
2011,2,1,6,8.4
2011,2,1,7,53.36
2011,2,1,8,116.65
2011,2,1,9,185.52
2011,2,1,10,276.84
2011,2,1,11,403.58
2011,2,1,12,496.08
2011,2,1,13,460.02
2011,2,1,14,428.12
2011,2,1,15,393.15
2011,2,1,16,266.46
2011,2,1,17,94.42
2011,2,1,18,6.31
2011,2,1,19,0.0
2011,2,1,20,0.0
2011,2,1,21,0.0
2011,2,1,22,0.0
2011,2,1,23,0.0
2011,2,2,0,0.0
2011,2,2,1,0.0
2011,2,2,2,0.0
2011,2,2,3,0.0
2011,2,2,4,0.0
2011,2,2,5,0.0
2011,2,2,6,16.59
2011,2,2,7,94.15
2011,2,2,8,221.33
2011,2,2,9,490.06
2011,2,2,10,606.07
2011,2,2,11,606.84
2011,2,2,12,595.2
2011,2,2,13,524.73
2011,2,2,14,527.4
2011,2,2,15,439.29
2011,2,2,16,270.66
2011,2,2,17,93.96
2011,2,2,18,4.22
2011,2,2,19,0.0
2011,2,2,20,0.0
2011,2,2,21,0.0
2011,2,2,22,0.0
2011,2,2,23,0.0
2011,2,3,0,0.0
2011,2,3,1,0.0
2011,2,3,2,0.0
2011,2,3,3,0.0
2011,2,3,4,0.0
2011,2,3,5,0.0
2011,2,3,6,14.34
2011,2,3,7,70.08
2011,2,3,8,152.98
2011,2,3,9,402.34
2011,2,3,10,544.6
2011,2,3,11,602.65
2011,2,3,12,659.67
2011,2,3,13,636.13
2011,2,3,14,490.09
2011,2,3,15,477.12
2011,2,3,16,291.62
2011,2,3,17,106.37
2011,2,3,18,6.62
2011,2,3,19,0.0
2011,2,3,20,0.0
2011,2,3,21,0.0
2011,2,3,22,0.0
2011,2,3,23,0.0
2011,2,4,0,0.0
2011,2,4,1,0.0
2011,2,4,2,0.0
2011,2,4,3,0.0
2011,2,4,4,0.0
2011,2,4,5,0.0
2011,2,4,6,12.16
2011,2,4,7,39.9
2011,2,4,8,163.4
2011,2,4,9,326.43
2011,2,4,10,485.7
2011,2,4,11,645.88
2011,2,4,12,647.42
2011,2,4,13,603.59
2011,2,4,14,492.08
2011,2,4,15,410.02
2011,2,4,16,252.9
2011,2,4,17,96.1
2011,2,4,18,7.06
2011,2,4,19,0.0
2011,2,4,20,0.0
2011,2,4,21,0.0
2011,2,4,22,0.0
2011,2,4,23,0.0
2011,2,5,0,0.0
2011,2,5,1,0.0
2011,2,5,2,0.0
2011,2,5,3,0.0
2011,2,5,4,0.0
2011,2,5,5,0.0
2011,2,5,6,25.38
2011,2,5,7,166.12
2011,2,5,8,357.78
2011,2,5,9,504.49
2011,2,5,10,705.37
2011,2,5,11,725.73
2011,2,5,12,602.43
2011,2,5,13,530.38
2011,2,5,14,501.88
2011,2,5,15,345.98
2011,2,5,16,196.86
2011,2,5,17,67.45
2011,2,5,18,5.56
2011,2,5,19,0.0
2011,2,5,20,0.0
2011,2,5,21,0.0
2011,2,5,22,0.0
2011,2,5,23,0.0
2011,2,6,0,0.0
2011,2,6,1,0.0
2011,2,6,2,0.0
2011,2,6,3,0.0
2011,2,6,4,0.0
2011,2,6,5,0.0
2011,2,6,6,21.93
2011,2,6,7,171.71
2011,2,6,8,367.9
2011,2,6,9,514.38
2011,2,6,10,702.8
2011,2,6,11,874.73
2011,2,6,12,900.55
2011,2,6,13,817.56
2011,2,6,14,726.39
2011,2,6,15,547.23
2011,2,6,16,359.22
2011,2,6,17,120.68
2011,2,6,18,7.75
2011,2,6,19,0.0
2011,2,6,20,0.0
2011,2,6,21,0.0
2011,2,6,22,0.0
2011,2,6,23,0.0
2011,2,7,0,0.0
2011,2,7,1,0.0
2011,2,7,2,0.0
2011,2,7,3,0.0
2011,2,7,4,0.0
2011,2,7,5,0.0
2011,2,7,6,19.3
2011,2,7,7,128.03
2011,2,7,8,288.07
2011,2,7,9,423.59
2011,2,7,10,602.75
2011,2,7,11,724.6
2011,2,7,12,799.63
2011,2,7,13,761.91
2011,2,7,14,627.6
2011,2,7,15,477.63
2011,2,7,16,283.09
2011,2,7,17,104.01
2011,2,7,18,6.84
2011,2,7,19,0.0
2011,2,7,20,0.0
2011,2,7,21,0.0
2011,2,7,22,0.0
2011,2,7,23,0.0
2011,2,8,0,0.0
2011,2,8,1,0.0
2011,2,8,2,0.0
2011,2,8,3,0.0
2011,2,8,4,0.0
2011,2,8,5,0.0
2011,2,8,6,16.05
2011,2,8,7,110.31
2011,2,8,8,259.64
2011,2,8,9,399.35
2011,2,8,10,506.52
2011,2,8,11,549.59
2011,2,8,12,466.59
2011,2,8,13,429.27
